City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,Shiozawa,100,JP,2021-03-28 16:55:48,98,37.0333,138.85,54.0,1.01
292,Karasuk,100,RU,2021-03-28 16:51:21,92,53.7377,78.0403,31.37,9.46
293,Sobolevo,89,RU,2021-03-28 16:55:48,95,54.4299,31.8996,34.93,10.16
294,Martapura,90,ID,2021-03-28 16:52:19,94,-3.4167,114.85,78.8,2.3
295,Ust-Maya,73,RU,2021-03-28 16:55:49,99,60.4167,134.5333,-1.12,1.23
296,San Carlos De Bariloche,0,AR,2021-03-28 16:55:49,27,-41.1456,-71.3082,75.0,3.44
297,Usinsk,100,RU,2021-03-28 16:55:49,96,65.9939,57.5281,23.18,7.43
298,Bengkulu,97,ID,2021-03-28 16:55:50,90,-3.8004,102.2655,77.77,3.65
299,Bonavista,100,CA,2021-03-28 16:55:50,55,48.6499,-53.1147,30.2,3.44
300,Kyshtovka,100,RU,2021-03-28 16:55:50,98,56.555,76.6271,29.37,2.68
301,Lompoc,0,US,2021-03-28 16:52:01,71,34.6391,-120.4579,64.99,5.75
302,Kwekwe,29,ZW,2021-03-28 16:55:51,55,-18.9281,29.8149,68.43,11.16
303,Sitka,20,US,2021-03-28 16:55:51,75,57.0531,-135.33,35.6,10.36
304,Kavieng,83,PG,2021-03-28 16:55:51,76,-2.5744,150.7967,82.62,13.73
305,Guerrero Negro,0,MX,2021-03-28 16:55:51,24,27.9769,-114.0611,73.44,3.06
306,Provideniya,100,RU,2021-03-28 16:55:52,95,64.3833,-173.3,3.4,23.38
307,Talara,0,PE,2021-03-28 16:51:08,45,-4.5772,-81.2719,87.8,14.97
308,Kahului,40,US,2021-03-28 16:54:16,83,20.8947,-156.47,69.8,11.5
309,Port Hardy,90,CA,2021-03-28 16:55:52,87,50.6996,-127.4199,41.0,4.61
310,Mana,91,GF,2021-03-28 16:55:53,76,5.6592,-53.7767,81.77,14.36
311,Poum,14,NC,2021-03-28 16:55:53,78,-20.2333,164.0167,79.66,9.33
312,Quito,75,EC,2021-03-28 16:55:53,59,-0.2299,-78.5249,66.2,4.61
313,Illapel,0,CL,2021-03-28 16:55:53,34,-31.6308,-71.1653,78.31,7.49
314,Karacabey,0,TR,2021-03-28 16:55:54,51,40.2152,28.4038,57.2,2.3
315,Buraydah,0,SA,2021-03-28 16:55:54,26,26.326,43.975,66.2,11.5
316,Clarence Town,75,AU,2021-03-28 16:55:54,94,-32.5833,151.7833,64.4,0.92
317,Podor,0,MR,2021-03-28 16:55:54,14,16.6527,-14.9587,102.2,2.3
318,Ilulissat,7,GL,2021-03-28 16:55:55,41,69.2167,-51.1,-5.8,4.59
319,Dodge City,1,US,2021-03-28 16:55:55,43,37.7528,-100.0171,61.0,8.05
320,Iralaya,75,HN,2021-03-28 16:55:55,78,15.0,-83.2333,82.4,11.5
321,Ayolas,18,PY,2021-03-28 16:55:56,57,-27.4,-56.9,75.72,6.15
322,Mae Sai,20,TH,2021-03-28 16:55:56,73,20.4335,99.8762,78.01,3.44
323,Los Llanos De Aridane,40,ES,2021-03-28 16:55:56,53,28.6585,-17.9182,71.6,4.61
324,Port Hawkesbury,90,CA,2021-03-28 16:55:56,69,45.6169,-61.3485,35.01,11.5
325,Betioky,13,MG,2021-03-28 16:55:57,89,-23.7167,44.3833,70.36,6.73
326,Lebu,5,CL,2021-03-28 16:55:57,66,-37.6167,-73.65,63.7,15.61
327,Hirara,11,JP,2021-03-28 16:55:57,87,24.8,125.2833,74.07,1.41
328,Fortuna,90,US,2021-03-28 16:55:57,100,40.5982,-124.1573,44.6,3.56
329,Amapa,81,BR,2021-03-28 16:55:58,92,1.0,-52.0,78.6,4.36
330,Pandamatenga,40,BW,2021-03-28 16:55:58,43,-18.5278,25.627,73.44,6.15
331,Svetlogorsk,100,BY,2021-03-28 16:55:58,91,52.6333,29.7333,40.5,11.05
332,Bentiu,0,SS,2021-03-28 16:55:59,12,9.2333,29.8333,91.13,4.72
333,Verkhnyaya Inta,30,RU,2021-03-28 16:55:59,99,65.9811,60.3094,0.82,4.56
334,Grand-Santi,89,GF,2021-03-28 16:55:59,92,4.25,-54.3833,79.48,5.55
335,Khasan,79,RU,2021-03-28 16:56:00,92,42.4308,130.6434,41.02,2.82
336,Leopold,90,AU,2021-03-28 16:56:00,82,-38.1833,144.4667,59.0,9.22
337,Birao,1,CF,2021-03-28 16:56:00,12,10.2849,22.7882,88.75,6.49
338,Naliya,50,IN,2021-03-28 16:56:00,73,23.2667,68.8333,78.66,11.97
339,Neuquen,0,AR,2021-03-28 16:56:01,20,-38.9516,-68.0591,75.2,8.05
340,Praia Da Vitoria,20,PT,2021-03-28 16:56:01,77,38.7333,-27.0667,64.4,15.95
341,Puerto Escondido,1,MX,2021-03-28 16:56:01,79,15.85,-97.0667,86.0,3.44
342,Salvador,40,SV,2021-03-28 16:56:02,48,13.8333,-88.9167,89.6,6.91
343,Sambava,63,MG,2021-03-28 16:54:17,86,-14.2667,50.1667,79.36,6.42
344,Neiafu,40,TO,2021-03-28 16:56:02,83,-18.65,-173.9833,80.6,6.91
345,Upernavik,85,GL,2021-03-28 16:56:02,75,72.7868,-56.1549,-16.33,3.78
346,Ugoofaaru,99,MV,2021-03-28 16:56:03,68,5.6667,73.0,84.61,12.03
347,Lundazi,63,ZM,2021-03-28 16:56:03,92,-12.2929,33.1782,65.39,3.53
348,Airai,100,TL,2021-03-28 16:56:03,94,-8.9266,125.4092,59.95,1.72
349,Numaran,41,MX,2021-03-28 16:56:04,12,20.25,-101.9333,84.65,2.77
350,Lavrentiya,100,RU,2021-03-28 16:56:04,96,65.5833,-171.0,2.35,15.46
351,Broken Hill,1,AU,2021-03-28 16:56:04,51,-31.95,141.4333,60.8,8.05
352,Dubbo,23,AU,2021-03-28 16:56:05,87,-32.25,148.6167,50.0,5.75
353,Worland,1,US,2021-03-28 16:56:05,56,44.0169,-107.9554,54.0,6.85
354,Murovane,79,UA,2021-03-28 16:56:05,55,49.5214,22.9367,43.0,4.7
355,Ust-Nera,97,RU,2021-03-28 16:56:06,99,64.5667,143.2,-4.32,3.65
356,Broome,90,US,2021-03-28 16:56:06,93,42.2506,-75.833,55.0,13.8
357,Katsuura,75,JP,2021-03-28 16:56:06,94,35.1333,140.3,62.6,13.8
358,Vestmannaeyjar,40,IS,2021-03-28 16:56:06,86,63.4427,-20.2734,32.0,4.61
359,La Romana,20,DO,2021-03-28 16:56:07,65,18.4273,-68.9728,82.4,19.57
360,Bafoulabe,0,ML,2021-03-28 16:56:07,6,13.8065,-10.8321,106.09,3.49
361,Chingirlau,100,KZ,2021-03-28 16:56:07,96,51.095,54.0814,32.5,12.46
362,Sioux Lookout,75,CA,2021-03-28 16:56:07,50,50.1001,-91.917,26.6,9.22
363,Pirawa,0,IN,2021-03-28 16:56:08,12,24.1551,76.0273,88.54,5.75
364,Noumea,40,NC,2021-03-28 16:55:50,88,-22.2763,166.4572,80.01,1.14
365,Bambanglipuro,84,ID,2021-03-28 16:56:08,88,-7.95,110.2833,77.34,3.8
366,Vila Velha,20,BR,2021-03-28 16:56:08,58,-20.3297,-40.2925,90.0,10.36
367,Dudinka,30,RU,2021-03-28 16:56:09,99,69.4058,86.1778,-8.12,8.5
368,La Brea,20,HN,2021-03-28 16:56:09,54,15.8,-85.9667,86.0,5.75
369,Chipiona,0,ES,2021-03-28 16:56:09,59,36.7366,-6.437,68.0,20.71
370,Bilibino,31,RU,2021-03-28 16:56:10,95,68.0546,166.4372,-25.55,3.8
371,Cidreira,87,BR,2021-03-28 16:56:10,74,-30.1811,-50.2056,76.6,9.57
372,Tazovskiy,53,RU,2021-03-28 16:56:10,99,67.4667,78.7,-8.36,8.12
373,Belmonte,20,BR,2021-03-28 16:56:10,62,-15.8631,-38.8828,86.0,17.27
374,Kharitonovo,35,RU,2021-03-28 16:56:11,93,61.4009,47.4978,29.03,5.77
375,Saint-Pierre,20,RE,2021-03-28 16:56:11,83,-21.3393,55.4781,78.8,4.61
376,Batagay-Alyta,98,RU,2021-03-28 16:56:11,86,67.8006,130.4114,-3.6,4.9
377,Lagos,40,NG,2021-03-28 16:56:12,66,6.5833,3.75,89.6,4.61
378,Mae Sot,100,TH,2021-03-28 16:56:12,68,16.7167,98.5667,79.18,1.97
379,Citta Di Castello,20,IT,2021-03-28 16:56:12,62,43.4691,12.2305,66.2,5.75
380,Chieti,75,IT,2021-03-28 16:56:13,82,42.3609,14.138,59.0,6.91
381,Mikun,81,RU,2021-03-28 16:56:13,92,62.3547,50.0771,30.38,7.94
382,Hualmay,72,PE,2021-03-28 16:56:13,71,-11.0964,-77.6139,75.38,9.93
383,Altamont,1,US,2021-03-28 16:56:14,60,42.2068,-121.7372,50.0,3.44
384,Grajau,72,BR,2021-03-28 16:56:14,70,-5.8194,-46.1386,85.57,4.34
385,Ahipara,98,NZ,2021-03-28 16:56:14,94,-35.1667,173.1667,65.57,6.73
386,Beloha,38,MG,2021-03-28 16:56:15,81,-25.1667,45.05,72.19,4.68
387,Sunrise Manor,1,US,2021-03-28 16:56:15,26,36.2111,-115.0731,66.99,3.09
388,Senno,80,RU,2021-03-28 16:56:15,67,59.5336,33.9167,37.0,8.3
389,Tiznit,48,MA,2021-03-28 16:54:44,32,29.5833,-9.5,72.55,11.61
390,Socorro,1,US,2021-03-28 16:56:16,35,31.6546,-106.3033,62.01,6.91
391,Rawson,83,AR,2021-03-28 16:51:29,43,-43.3002,-65.1023,69.96,11.03
392,Chicama,85,PE,2021-03-28 16:56:16,83,-7.8447,-79.1469,71.6,10.36
393,Kingaroy,100,AU,2021-03-28 16:56:16,88,-26.5333,151.8333,64.99,3.44
394,Asau,85,RO,2021-03-28 16:56:17,53,46.4333,26.4,41.0,2.01
395,Hongjiang,34,CN,2021-03-28 16:56:17,92,27.11,109.9956,67.75,2.8
396,Boralday,90,KZ,2021-03-28 16:56:17,81,43.3578,76.8594,46.4,2.24
397,Wanning,57,CN,2021-03-28 16:56:18,96,18.8003,110.3967,74.12,7.45
398,Kankan,67,GN,2021-03-28 16:56:18,19,10.3854,-9.3057,100.51,3.85
399,Mudanjiang,100,CN,2021-03-28 16:56:18,98,44.5833,129.6,39.9,3.71
400,Aklavik,40,CA,2021-03-28 16:56:18,59,68.2191,-135.0107,-9.4,8.05
401,Rudbar,53,AF,2021-03-28 16:56:19,16,30.15,62.6,80.24,21.94
402,Oranjemund,4,NA,2021-03-28 16:56:19,82,-28.55,16.4333,63.27,6.38
403,Ibotirama,60,BR,2021-03-28 16:56:19,18,-12.1853,-43.2206,99.3,4.99
404,Taltal,1,CL,2021-03-28 16:56:20,68,-25.4,-70.4833,68.52,6.64
405,Evanston,90,US,2021-03-28 16:56:20,60,42.0411,-87.6901,43.0,20.71
406,San Cristobal,75,VE,2021-03-28 16:56:20,57,7.7669,-72.225,82.4,11.5
407,Sanandaj,0,IR,2021-03-28 16:56:21,26,35.3144,46.9923,48.02,3.11
408,Ambon,40,ID,2021-03-28 16:56:21,94,-3.6954,128.1814,77.0,5.75
409,Iskitim,98,RU,2021-03-28 16:56:21,86,54.6366,83.3045,32.0,4.47
410,Kautokeino,85,NO,2021-03-28 16:56:22,99,69.0125,23.0412,23.31,8.55
411,Vanavara,82,RU,2021-03-28 16:56:22,99,60.34,102.2797,7.14,2.13
412,Grand Gaube,11,MU,2021-03-28 16:56:22,78,-20.0064,57.6608,79.0,1.63
413,Ler,4,SS,2021-03-28 16:56:22,14,8.3018,30.1418,91.2,4.61
414,Pingzhuang,0,CN,2021-03-28 16:56:23,25,42.0372,119.2889,40.53,13.27
415,Pemangkat,78,ID,2021-03-28 16:56:23,84,1.1667,108.9667,78.69,5.26
416,Merauke,100,ID,2021-03-28 16:56:23,86,-8.4667,140.3333,79.99,11.43
417,Lagoa,100,PT,2021-03-28 16:56:24,83,39.05,-27.9833,59.16,20.65
418,Taybad,100,IR,2021-03-28 16:56:24,76,34.74,60.7756,44.46,24.23
419,Kesan,20,TR,2021-03-28 16:56:24,67,40.8558,26.6303,57.2,12.66
420,Oranjestad,20,AW,2021-03-28 16:56:25,62,12.524,-70.027,86.0,25.32
421,Gympie,98,AU,2021-03-28 16:56:25,95,-26.1898,152.665,64.0,2.48
422,Mount Gambier,75,AU,2021-03-28 16:56:25,94,-37.8333,140.7667,55.4,5.75
423,Shache,100,CN,2021-03-28 16:56:26,26,38.4167,77.2406,59.97,9.84
424,Eyl,47,SO,2021-03-28 16:56:26,74,7.9803,49.8164,79.41,10.47
425,Hargeysa,69,SO,2021-03-28 16:56:26,61,9.56,44.065,68.49,12.91
426,Alofi,10,NU,2021-03-28 16:56:26,94,-19.0595,-169.9187,78.8,6.91
427,Severnoye,100,RU,2021-03-28 16:56:27,95,56.3491,78.3619,26.35,2.51
428,Sipe Sipe,40,BO,2021-03-28 16:56:27,33,-17.45,-66.3833,75.2,4.61
429,Ravar,21,IR,2021-03-28 16:56:27,24,31.2656,56.8055,60.13,9.66
430,Adiake,20,CI,2021-03-28 16:56:28,74,5.2863,-3.304,86.0,14.97
431,Calama,0,CL,2021-03-28 16:56:28,15,-22.4667,-68.9333,75.2,17.27
432,Preobrazheniye,100,RU,2021-03-28 16:56:28,95,42.9019,133.9064,39.45,5.53
433,Marsa Matruh,20,EG,2021-03-28 16:54:13,55,31.3525,27.2453,60.8,11.5
434,Marsabit,100,KE,2021-03-28 16:56:29,41,2.3284,37.9899,73.33,8.43
435,Guinabsan,98,PH,2021-03-28 16:56:29,94,8.8975,125.4161,73.72,2.57
436,Paracin,0,RS,2021-03-28 16:56:29,41,43.8608,21.4078,55.4,4.61
437,Victoria,3,HK,2021-03-28 16:52:08,88,22.2855,114.1577,77.0,6.78
438,Urengoy,79,RU,2021-03-28 16:56:30,99,65.9667,78.3667,-2.7,8.57
439,Assiniboia,97,CA,2021-03-28 16:56:30,43,49.6334,-105.9845,48.2,18.41
440,Giyon,91,ET,2021-03-28 16:56:30,31,8.5333,37.9833,68.04,0.96
441,Chimbarongo,0,CL,2021-03-28 16:56:31,40,-34.7,-71.05,71.6,3.44
442,Bundaberg,98,AU,2021-03-28 16:56:31,88,-24.85,152.35,73.0,6.91
443,Japura,78,ID,2021-03-28 16:56:31,98,-0.3167,102.35,74.48,2.39
444,Basco,17,PH,2021-03-28 16:56:32,81,20.4487,121.9702,78.89,8.57
445,Hay River,100,CA,2021-03-28 16:56:32,86,60.8156,-115.7999,17.6,16.11
446,Parrita,20,CR,2021-03-28 16:56:32,56,9.5201,-84.3225,79.0,17.27
447,Luau,98,AO,2021-03-28 16:56:33,92,-10.7073,22.2247,67.55,1.99
448,San Ramon,1,US,2021-03-28 16:55:50,50,37.7799,-121.978,64.99,0.94
449,Vilhena,75,BR,2021-03-28 16:56:33,65,-12.7406,-60.1458,84.2,12.66
450,Nauen,100,DE,2021-03-28 16:56:34,56,52.607,12.8737,53.01,4.0
451,Kohlu,0,PK,2021-03-28 16:56:34,20,29.8962,69.252,76.96,4.79
452,Ojinaga,1,MX,2021-03-28 16:56:34,26,29.5667,-104.4167,66.2,14.97
453,Fayaoue,0,NC,2021-03-28 16:56:35,77,-20.65,166.5333,79.92,14.58
454,Portland,75,US,2021-03-28 16:55:03,71,45.5234,-122.6762,48.99,6.91
455,Ozu,1,JP,2021-03-28 16:56:35,90,33.5,132.55,53.01,1.01
456,Buchanan,75,LR,2021-03-28 16:56:36,79,5.8808,-10.0467,84.2,13.8
457,Penzance,75,GB,2021-03-28 16:56:36,87,50.1186,-5.5371,50.0,27.63
458,Chifeng,0,CN,2021-03-28 16:56:37,24,42.2683,118.9636,39.92,16.91
459,Anadyr,75,RU,2021-03-28 16:56:37,79,64.75,177.4833,15.8,17.9
